date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:24:13	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-615ddcfd-32fff0844d9e3e43;gz%22	https://html.creativegigstf.com/robots.txt		(from )
08:24:14	31173/31173	---M-Z	200	added ('OK')	text/html	etag:%2279c5-62e54da8-30a813cce75b80d8;gz%22	https://html.creativegigstf.com/charles/?storefront=envato-elements	D:/all_test/test/html.creativegigstf.com/charles/index04b9.html	(from )
08:24:14	2008/2008	---M--	200	added ('OK')	image/png	etag:%227d8-62e54da8-35442a4b8f03389d;;;%22	https://html.creativegigstf.com/charles/images/fav-icon/icon.png	D:/all_test/test/html.creativegigstf.com/charles/images/fav-icon/icon.png	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:14	68392/68392	---M-Z	200	added ('OK')	text/css	etag:%2210b28-62e54da8-4ee4ca13d5470c18;gz%22	https://html.creativegigstf.com/charles/css/style.css	D:/all_test/test/html.creativegigstf.com/charles/css/style.css	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:15	11812/11812	---M-Z	200	added ('OK')	text/css	etag:%222e24-62e54da8-c7fb084b02d3220d;gz%22	https://html.creativegigstf.com/charles/css/responsive.css	D:/all_test/test/html.creativegigstf.com/charles/css/responsive.css	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:15	31173/31173	---M-Z	200	added ('OK')	text/html	etag:%2279c5-62e54da8-30a813cce75b80d8;gz%22	https://html.creativegigstf.com/charles/index.html	D:/all_test/test/html.creativegigstf.com/charles/index.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:15	3180/3180	---M--	200	added ('OK')	image/png	etag:%22c6c-62e54da8-232967680c8ba054;;;%22	https://html.creativegigstf.com/charles/images/logo/logo.png	D:/all_test/test/html.creativegigstf.com/charles/images/logo/logo.png	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:16	34379/34379	---M-Z	200	added ('OK')	text/html	etag:%22864b-62e54da8-3dc77fec3b43c749;gz%22	https://html.creativegigstf.com/charles/index-2.html	D:/all_test/test/html.creativegigstf.com/charles/index-2.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:16	19532/19532	---M-Z	200	added ('OK')	text/html	etag:%224c4c-62e54da8-cc86de88d25571e;gz%22	https://html.creativegigstf.com/charles/about.html	D:/all_test/test/html.creativegigstf.com/charles/about.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:17	21623/21623	---M-Z	200	added ('OK')	text/html	etag:%225477-62e54da8-736b407d3951cbfb;gz%22	https://html.creativegigstf.com/charles/team.html	D:/all_test/test/html.creativegigstf.com/charles/team.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:17	22439/22439	---M-Z	200	added ('OK')	text/html	etag:%2257a7-62e54da8-3f442574c50096f8;gz%22	https://html.creativegigstf.com/charles/faq.html	D:/all_test/test/html.creativegigstf.com/charles/faq.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:18	11622/11622	---M-Z	200	added ('OK')	text/html	etag:%222d66-62e54da8-18b107509ba614f;gz%22	https://html.creativegigstf.com/charles/404.html	D:/all_test/test/html.creativegigstf.com/charles/404.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:18	19058/19058	---M-Z	200	added ('OK')	text/html	etag:%224a72-62e54da8-2dc27c4f411d7024;gz%22	https://html.creativegigstf.com/charles/shop.html	D:/all_test/test/html.creativegigstf.com/charles/shop.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:18	21769/21769	---M-Z	200	added ('OK')	text/html	etag:%225509-62e54da8-945df61c6d486fc2;gz%22	https://html.creativegigstf.com/charles/shop-details.html	D:/all_test/test/html.creativegigstf.com/charles/shop-details.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:19	18135/18135	---M-Z	200	added ('OK')	text/html	etag:%2246d7-62e54da8-7352226db34040c3;gz%22	https://html.creativegigstf.com/charles/service.html	D:/all_test/test/html.creativegigstf.com/charles/service.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:19	20725/20725	---M-Z	200	added ('OK')	text/html	etag:%2250f5-62e54da8-f6ce5b8115e4ae99;gz%22	https://html.creativegigstf.com/charles/service-v2.html	D:/all_test/test/html.creativegigstf.com/charles/service-v2.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:20	20880/20880	---M-Z	200	added ('OK')	text/html	etag:%225190-62e54da8-98fa1b75175fa015;gz%22	https://html.creativegigstf.com/charles/service-details.html	D:/all_test/test/html.creativegigstf.com/charles/service-details.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:20	17860/17860	---M-Z	200	added ('OK')	text/html	etag:%2245c4-62e54da8-d037ba9cf43f2e6d;gz%22	https://html.creativegigstf.com/charles/project.html	D:/all_test/test/html.creativegigstf.com/charles/project.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:21	15585/15585	---M-Z	200	added ('OK')	text/html	etag:%223ce1-62e54da8-e63e501a65148c7d;gz%22	https://html.creativegigstf.com/charles/project-details.html	D:/all_test/test/html.creativegigstf.com/charles/project-details.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:21	17580/17580	---M-Z	200	added ('OK')	text/html	etag:%2244ac-62e54da8-dac849e16497947a;gz%22	https://html.creativegigstf.com/charles/blog.html	D:/all_test/test/html.creativegigstf.com/charles/blog.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:21	19064/19064	---M-Z	200	added ('OK')	text/html	etag:%224a78-62e54da8-a7d9661ac099a8c8;gz%22	https://html.creativegigstf.com/charles/blog-grid.html	D:/all_test/test/html.creativegigstf.com/charles/blog-grid.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:22	22091/22091	---M-Z	200	added ('OK')	text/html	etag:%22564b-62e54da8-e3e79a3f137116af;gz%22	https://html.creativegigstf.com/charles/blog-details.html	D:/all_test/test/html.creativegigstf.com/charles/blog-details.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:22	15191/15191	---M-Z	200	added ('OK')	text/html	etag:%223b57-62e54da8-f9bd9dcdfe21c915;gz%22	https://html.creativegigstf.com/charles/contact.html	D:/all_test/test/html.creativegigstf.com/charles/contact.html	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:24	200754/200754	---M--	200	added ('OK')	image/jpeg	etag:%2231032-62e54da8-19d73a55cf4bb24a;;;%22	https://html.creativegigstf.com/charles/images/home/slide-1.jpg	D:/all_test/test/html.creativegigstf.com/charles/images/home/slide-1.jpg	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:24	180788/180788	---M--	200	added ('OK')	image/jpeg	etag:%222c234-62e54da8-187605a507597b62;;;%22	https://html.creativegigstf.com/charles/images/home/slide-2.jpg	D:/all_test/test/html.creativegigstf.com/charles/images/home/slide-2.jpg	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:25	3515/3515	---M--	200	added ('OK')	image/png	etag:%22dbb-62e54da8-4efcf8e36797e8a3;;;%22	https://html.creativegigstf.com/charles/images/icon/1.png	D:/all_test/test/html.creativegigstf.com/charles/images/icon/1.png	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:25	3349/3349	---M--	200	added ('OK')	image/png	etag:%22d15-62e54da8-5dc0da05e8703c2d;;;%22	https://html.creativegigstf.com/charles/images/icon/2.png	D:/all_test/test/html.creativegigstf.com/charles/images/icon/2.png	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
08:24:26	3492/3492	---M--	200	added ('OK')	image/png	etag:%22da4-62e54da8-76abde5fa497b6a6;;;%22	https://html.creativegigstf.com/charles/images/icon/3.png	D:/all_test/test/html.creativegigstf.com/charles/images/icon/3.png	(from https://html.creativegigstf.com/charles/?storefront=envato-elements)
